dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a
20,0.0,29701.222460814864,26458.00344608402,0.0,0.0,4002.8235513601367,53185.51933100524,11970.833261015312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11062.269866054561,0.0,0.0,0.0,0.0,0.0,26.38285270976197,24.69932820222333,0.0,0.0,2.5189502559549544,35.586639484630396,9.048259743396374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.623278775349736,0.0,0.0,0.0,0.0
21,0.0,13027.526166409853,22320.327712295624,0.0,0.0,5216.501521415285,15736.330215618062,12985.785526743843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53427925950307,17.5927744283577,0.0,0.0,4.370093082431267,17.304572384688797,12.85517078916018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,31210.279686650087,48524.33638017218,0.0,0.0,5409.210431797819,109355.20185108372,8708.793308164777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.8600980564531,9026.292501703554,0.0,64.00833369532998,0.0,0.0,0.0,34.15484738589811,53.51077048240125,0.0,0.0,4.418852758263812,81.42490632436629,2.849203552178522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.340244607940617,12.655232627238659,0.0,0.08714875829993479,0.0,0.0
23,0.0,19285.03417820931,29287.339687706924,0.0,0.0,7931.450405277443,41049.99926692697,1668.2411290217133,3029.2749879722505,0.0,0.0,12.947888449508406,0.0,0.0,232.39460259564498,1260.631149336407,21245.304643880954,0.0,127.31335306930337,0.0,0.0,0.0,20.450506582266474,22.226764954672063,0.0,0.0,4.438688525706089,26.382339447216538,4.688519853036003,0.9552598596077089,0.0,0.0,0.043945057685395784,0.0,0.0,0.1383463951214841,1.4104614278887355,18.217752602574564,0.0,0.1397739991933056,0.0,0.0
24,4653.15111874678,86201.38187730295,120020.54291300391,19005.413341894015,0.0,51459.51908268867,123552.02635736957,21504.601595738015,0.0,0.0,0.0,32.8283187762537,117.70992964295758,0.0,91.91349394734897,1617.1415165888584,0.0,0.0,489.31569624887686,0.0,0.0,3.3143051404155783,69.18649894136308,83.97048029424522,13.278949031044855,0.0,36.11475720909406,89.5381239873417,20.573788924549227,0.0,0.0,0.0,0.04721834024190055,0.040506155434533925,0.0,0.06929175181540478,1.7664080538917617,0.0,0.0,0.8609280196373776,0.0,0.0
25,0.0,54280.29939236147,71466.35792303357,0.0,0.0,13234.660518885948,68562.62801147833,6679.182524932152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.1624544858445,0.0,0.0,100.49257793632881,0.0,0.0,0.0,42.53395930287257,60.09215473522031,0.0,0.0,9.76643152497682,52.598974775595416,8.80244088658366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40055613460782125,0.0,0.0,0.19612719112917532,0.0,0.0
26,0.0,59033.452974747444,74261.44758916704,9504.845693720597,27460.92128388984,63965.777283652555,177514.07092926206,36492.712982658886,0.0,0.0,0.0,19.52433644408955,91.07679583709825,57025.23755758888,193.77372614872203,2173.6408124008003,10118.395579492428,0.0,165.9814187366792,0.0,0.0,0.0,67.02526331442213,58.63958547065865,6.762276103870011,48.71746329585886,23.45733687077999,118.47731359858214,26.7646417199062,0.0,0.0,0.0,0.05252920950662827,0.10347642624861866,14.02508348130747,0.3360034784085195,3.3795777596915424,15.25202305021602,0.0,0.24885121291811393,0.0,0.0
27,2484.2354554959493,79169.80145071808,113523.23926589222,9054.944303306998,4823.6084906381875,38475.3100120397,131132.6393237687,39582.92666193354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2556.360296150854,20296.282541962246,0.0,749.2369939000988,0.0,0.0,2.1316932302603853,90.74488444067727,88.2510486715049,6.745033274804702,3.9871700729541506,31.45769345479827,139.81799957170986,22.536251492598318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9641000369886155,17.842567873028706,0.0,1.0510810594038826,0.0,0.0
28,8803.862225485358,63015.19573371321,95760.26830465106,37508.278093586414,3364.3372402860623,100297.14501787482,185126.08836908895,44240.33612639888,0.0,0.0,0.0,8.767629981702857,0.0,58686.52083837083,4175.241173715499,5319.314375347612,20126.315959818818,0.0,253.6563955531994,0.0,0.0,7.036183999616386,64.36064938764113,84.48676723489663,33.03815207285626,5.053076821407937,203.34522658723648,173.11075391775395,30.45382852261898,0.0,0.0,0.0,0.04157718874572573,0.0,21.02830050555133,2.001107530800727,4.347891433258722,22.337638103089468,0.0,0.9945271497778948,0.0,0.0
29,4339.605890430205,72159.48039076717,89137.7768797345,14800.572507744526,0.0,51181.911571633456,144941.6920950269,27467.249344854787,0.0,0.0,0.0,19.92435682046997,0.0,52879.0468170212,471.28563699069787,2454.9428795660983,11425.27782293203,0.0,0.0,0.0,0.0,2.682622097216692,69.1122254235467,67.70895348598391,6.231526590487514,0.0,21.921265483103866,114.10821621156664,15.01579351947706,0.0,0.0,0.0,0.01566962038014156,0.0,8.387354729918163,0.2518338474188818,3.414178659155488,11.901936582871048,0.0,0.0,0.0,0.0
30,0.0,54356.1383736007,69071.62347119894,0.0,7041.1904604631145,9621.953520854608,82728.99853862205,8038.347134731435,4147.682683214951,19.199368459926458,20.422953799522798,19.74346374918178,0.0,61065.28684000076,0.0,4941.014147418458,9299.977258952928,0.0,879.3825722784771,0.0,0.0,0.0,56.3585749063875,56.075308631629696,0.0,4.981118635394184,23.227235390236324,71.78285257342289,0.8822422743311711,20.01386392226237,0.006553313024483187,0.01606173440742615,0.006150743916771439,0.0,17.436685902766936,0.0,4.31502390039582,8.056028381606124,0.0,0.34893938311737327,0.0,0.0
