dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.40.11.023a-D.40.11.023a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.40.11.023a-D.40.11.023a
49,0.0,5822.1435752814905,11102.038790968505,0.0,0.0,0.0,16670.36086581198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.488085024106626,11.829822847287454,0.0,0.0,0.0,10.908249339177992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,11836.535997029343,25779.4852228744,0.0,0.0,2456.912708280362,23564.639960072032,3817.346375175898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.488278029049305,22.950985870758085,0.0,0.0,4.924284891814869,17.656029487905677,8.0366722071182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,16848.492511724984,23257.527263543194,0.0,0.0,3235.8281338073775,21446.843432597012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.023746076780913,20.944189765910945,0.0,0.0,5.050874974976629,15.497356635676912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,1509.9165361556322,2617.730292242163,0.0,0.0,0.0,10992.83213675951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1829231128287896,2.06625866934645,0.0,0.0,0.0,15.818737986113682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,8869.703077645667,22292.55400253055,0.0,0.0,0.0,14918.512452023811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.506574563381925,19.14284618244707,0.0,0.0,0.0,3.312133108271195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,3804.3671987598946,8221.963941402344,0.0,0.0,0.0,15232.630536842204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7775344472028003,4.813236703060334,0.0,0.0,0.0,16.030780659351475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,10270.604718007718,26594.912069574006,0.0,0.0,2235.727302847373,12407.282645576079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.535148968726489,11.577869954963157,0.0,0.0,1.6091067786062314,12.515068481018112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,6471.313115331712,7581.7622559299625,0.0,0.0,1062.605496799798,9694.562816795737,15037.504630819858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.473142938714771,6.186436726159991,0.0,0.0,2.0005521104677353,4.336777450298,5.576102433512279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,11468.999180225195,12242.514038408062,0.0,0.0,0.0,20173.4878784316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01324903783955,15.716587082687523,0.0,0.0,0.0,17.463571383632875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,13053.871793884091,11669.60366546878,0.0,0.0,1869.722920167077,18621.248320106635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8454059289755165,10.36136869544249,0.0,0.0,1.9653253986837091,4.9862720243186756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
