dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
38,0.0,20979.0633891822,23800.16712314998,0.0,0.0,4086.944649346256,24283.929243851126,12156.387560894802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.841368902652704,21.311286117236673,0.0,0.0,5.4893541790143265,13.319101426976552,0.3350562734606307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,9979.466689438255,9601.22365037441,0.0,0.0,0.0,10804.164388206718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.105933541099946,6.678296437198196,0.0,0.0,0.0,11.236384911744246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,10128.33909973059,10855.951328227868,0.0,0.0,0.0,20896.675843971858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07410901760659,8.690315364324235,0.0,0.0,0.0,14.841812469451966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,14356.723625031858,26703.82396456756,0.0,0.0,0.0,13642.066275900135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.925769729952027,19.091329408826223,0.0,0.0,0.0,14.613878173974548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,22132.90116419446,17806.24956173653,0.0,8187.207584408259,2462.725562205923,34615.9421231235,6196.345365657092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.90990636600634,0.0,0.0,17.85930391600487,11.281458996314669,0.0,3.767980124985135,5.347664769732195,30.48288991658794,9.906658807894093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12407861191937447,0.0
43,0.0,15052.316627389253,21707.473332167257,0.0,0.0,3470.3477869088542,47912.69286849044,8522.054020393007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007713300933819,15.473469706226119,0.0,0.0,3.649606397284077,37.76407809573887,11.439260034698949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,11662.369398801893,14847.33209690942,0.0,0.0,0.0,15967.599754131037,3160.9801487491754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83633162874502,11.402334826075,0.0,0.0,0.0,13.948114880422686,4.6095647291002075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,24578.27155628541,40767.03320429222,0.0,0.0,6239.702523367942,65051.42941370669,1657.4238876136294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.50433308326244,31.3270545481941,0.0,0.0,3.454672798820428,57.9982922810765,8.18816532160181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,24979.278115037698,45845.161812095226,0.0,0.0,6368.168917729167,56339.776894643874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.098700624733546,27.35445943849068,0.0,0.0,5.79772771277764,41.8695496363352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,10907.748364958023,15366.509404515347,0.0,0.0,0.0,21475.3583079684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.229282073276396,8.911668912569224,0.0,0.0,0.0,8.66441396119756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
